tick,population,active,withdrawn,dead_cumulative,births,deaths,mean_stress,mean_W,mean_density,max_cell_count,civilization_phase
95,20,19,1,0,0,0,0.0,0.5092892200684268,0.20290476190476187,1,expansion
96,20,19,1,0,0,0,0.0,0.5089967155386331,0.19176190476190474,2,expansion
97,20,19,1,0,0,0,0.0,0.5117402684960676,0.19257142857142853,2,expansion
98,20,19,1,0,0,0,0.0,0.5021104452503412,0.1769523809523809,2,expansion
99,20,19,1,0,0,0,0.0,0.5066727009622778,0.20209523809523802,1,expansion
100,20,19,1,0,0,0,0.0,0.5093852214957237,0.19528571428571426,2,expansion
101,20,19,1,0,0,0,0.0,0.5089299484666129,0.2037619047619047,1,expansion
102,20,19,1,0,0,0,0.0,0.5045860979672787,0.16876190476190472,2,expansion
103,20,19,1,0,0,0,0.0,0.5102426821083462,0.18816666666666662,2,expansion
104,20,19,1,0,0,0,0.0,0.5124956555649579,0.1791428571428571,3,expansion
105,20,19,1,0,0,0,0.0,0.5085708251333825,0.18719047619047616,2,expansion
106,20,19,1,0,0,0,0.0,0.5166046418188,0.21019047619047618,1,expansion
107,20,19,1,0,0,0,0.0,0.5060505088615698,0.2034047619047619,1,expansion
108,20,19,1,0,0,0,0.0,0.5087461285471152,0.21219047619047615,1,expansion
109,20,19,1,0,0,0,0.0,0.510606824417062,0.20602380952380947,1,expansion
110,20,19,1,0,0,0,0.0,0.5087341981823739,0.20830952380952378,1,expansion
111,20,19,1,0,0,0,0.0,0.5041254863332957,0.17942857142857138,2,expansion
112,20,19,1,0,0,0,0.0,0.501138417979236,0.19764285714285712,2,expansion
113,20,19,1,0,0,0,0.0,0.5002632443229261,0.1981190476190476,2,expansion
114,20,19,1,0,0,0,0.0,0.49873859187460406,0.19907142857142854,2,expansion
115,20,19,1,0,0,0,0.0,0.4997188447378563,0.17935714285714283,2,expansion
116,20,19,1,0,0,0,0.0,0.5019214139336368,0.17307142857142857,2,expansion
117,20,19,1,0,0,0,0.0,0.5040482223916694,0.18197619047619046,2,expansion
118,20,19,1,0,0,0,0.0,0.5049441240621274,0.19057142857142853,2,expansion
119,20,19,1,0,0,0,0.0,0.5113876584975086,0.20645238095238092,1,expansion
120,20,19,1,0,0,0,0.0,0.5125039893655527,0.20678571428571427,1,expansion
121,20,19,1,0,0,0,0.0,0.5129540328954254,0.1956428571428571,2,expansion
122,20,19,1,0,0,0,0.0,0.516982906126247,0.1998095238095238,2,expansion
123,20,19,1,0,0,0,0.0,0.5142405511485653,0.19159523809523812,2,expansion
124,20,19,1,0,0,0,0.0,0.5106824326059412,0.1892142857142857,2,expansion
125,20,19,1,0,0,0,0.0,0.5127764565843478,0.1810238095238095,2,expansion
126,20,19,1,0,0,0,0.0,0.5139633800978824,0.17873809523809522,2,expansion
127,20,19,1,0,0,0,0.0,0.5146002840289399,0.1971904761904762,2,expansion
128,20,19,1,0,0,0,0.0,0.5084439341254618,0.1962380952380952,2,expansion
129,20,19,1,0,0,0,0.0,0.505492344505359,0.18785714285714283,2,expansion
130,20,19,1,0,0,0,0.0,0.509385911716782,0.18711904761904763,2,expansion
131,20,19,1,0,0,0,0.0,0.5106416556439834,0.19885714285714287,2,expansion
132,20,19,1,0,0,0,0.0,0.5127621758940526,0.19730952380952377,2,expansion
133,20,19,1,0,0,0,0.0,0.5096819245556338,0.1673095238095238,2,expansion
134,20,19,1,0,0,0,0.0,0.5098225344904967,0.16852380952380952,3,expansion
135,20,19,1,0,0,0,0.0,0.501589680529794,0.16161904761904758,4,expansion
136,20,19,1,0,0,0,0.0,0.5062864319660629,0.17459523809523808,3,expansion
137,20,19,1,0,0,0,0.0,0.5046900503375791,0.17959523809523806,3,expansion
138,20,19,1,0,0,0,0.0,0.5035920223466509,0.18959523809523804,2,expansion
139,20,19,1,0,0,0,0.0,0.5163185587002717,0.18092857142857138,3,expansion
140,20,19,1,0,0,0,0.0,0.5136173752550345,0.17297619047619045,2,expansion
141,20,19,1,0,0,0,0.0,0.5157319275401602,0.17485714285714285,2,expansion
142,20,19,1,0,0,0,0.0,0.5192706275134615,0.18599999999999997,2,expansion
143,20,19,1,0,0,0,0.0,0.5193125689292871,0.1964285714285714,2,expansion
144,20,19,1,0,0,0,0.0,0.5162194015855666,0.20688095238095233,1,expansion
145,20,19,1,0,0,0,0.0,0.5174880118731141,0.18623809523809523,2,expansion
146,20,19,1,0,0,0,0.0,0.5151207495856078,0.182547619047619,2,expansion
147,20,19,1,0,0,0,0.0,0.5148548286685585,0.18538095238095234,2,expansion
148,20,19,1,0,0,0,0.0,0.514738108570847,0.193,2,expansion
149,20,19,1,0,0,0,0.0,0.5102653245418458,0.16914285714285715,2,expansion
150,20,19,1,0,0,0,0.0,0.5062589895862213,0.1566190476190476,2,expansion
151,20,19,1,0,0,0,0.0,0.5092028622750522,0.15685714285714283,2,expansion
152,20,19,1,0,0,0,0.0,0.5092576075890551,0.16914285714285712,2,expansion
153,20,19,1,0,0,0,0.0,0.5082201756229938,0.17685714285714282,2,expansion
154,20,19,1,0,0,0,0.0,0.5103628100273045,0.1832142857142857,2,expansion
155,20,19,1,0,0,0,0.0,0.5064187185210511,0.19080952380952376,2,expansion
156,20,19,1,0,0,0,0.0,0.5049515043226862,0.16309523809523804,2,expansion
157,20,19,1,0,0,0,0.0,0.5105138628196039,0.16009523809523807,2,expansion
158,20,19,1,0,0,0,0.0,0.5131821103809202,0.19259523809523807,2,expansion
159,20,19,1,0,0,0,0.0,0.511630091840672,0.1892380952380952,2,expansion
160,20,19,1,0,0,0,0.0,0.5147576624750803,0.16842857142857143,2,expansion
161,20,19,1,0,0,0,0.0,0.5130281039536747,0.1768333333333333,2,expansion
162,20,19,1,0,0,0,0.0,0.5185451993080015,0.1879047619047619,2,expansion
163,20,19,1,0,0,0,0.0,0.5166313628131965,0.18814285714285714,2,expansion
164,20,19,1,0,0,0,0.0,0.5086383311010988,0.1785,2,expansion
165,20,19,1,0,0,0,0.0,0.5126610157331083,0.18219047619047615,2,expansion
166,20,19,1,0,0,0,0.0,0.5088268565129033,0.17523809523809522,2,expansion
167,20,19,1,0,0,0,0.0,0.521713997272383,0.2105238095238095,1,expansion
168,20,19,1,0,0,0,0.0,0.5109836136591941,0.184,2,expansion
169,20,19,1,0,0,0,0.0,0.5059182548003129,0.1812380952380952,2,expansion
170,20,19,1,0,0,0,0.0,0.5088686533259439,0.18357142857142858,2,expansion
171,20,19,1,0,0,0,0.0,0.5042924942984862,0.18340476190476188,2,expansion
172,20,19,1,0,0,0,0.0,0.5153472034950498,0.19602380952380952,2,expansion
173,20,19,1,0,0,0,0.0,0.5135308841724416,0.20516666666666666,1,expansion
174,20,19,1,0,0,0,0.0,0.5074182436565761,0.18421428571428566,2,expansion
175,20,19,1,0,0,0,0.0,0.5172970139673991,0.19345238095238096,2,expansion
176,20,19,1,0,0,0,0.0,0.5105983580468125,0.17173809523809525,3,expansion
177,20,18,2,0,0,0,0.0,0.5146335978327925,0.15183333333333332,3,expansion
178,20,18,2,0,0,0,0.0,0.5253163747485079,0.1688095238095238,3,expansion
179,20,18,2,0,0,0,0.0,0.5278318131673398,0.18976190476190474,2,expansion
180,20,18,2,0,0,0,0.0,0.5196301758233997,0.1691190476190476,2,expansion
181,20,18,2,0,0,0,0.0,0.5119193858783737,0.16333333333333333,2,expansion
182,20,18,2,0,0,0,0.0,0.5204233141046839,0.1883809523809524,2,expansion
183,20,18,2,0,0,0,0.0,0.5154875905475251,0.16678571428571426,2,expansion
184,19,17,2,1,0,1,0.0,0.5132426427557025,0.15864285714285714,2,expansion
185,19,17,2,1,0,0,0.0,0.5173805672472226,0.17511904761904756,2,expansion
186,19,17,2,1,0,0,0.0,0.5181428133689456,0.17207142857142854,2,expansion
187,19,17,2,1,0,0,0.0,0.5232590069455952,0.18004761904761898,2,expansion
188,19,17,2,1,0,0,0.0,0.5241417458852023,0.17321428571428565,2,expansion
189,19,17,2,1,0,0,0.0,0.5200452649331097,0.1643333333333333,2,expansion
190,19,17,2,1,0,0,0.0,0.5175864718421682,0.1565238095238095,3,expansion
191,19,17,2,1,0,0,0.0,0.5173639366575972,0.1636428571428571,2,expansion
192,19,16,3,1,0,0,0.0,0.5270767194487219,0.1622380952380952,2,expansion
193,19,17,2,1,0,0,0.0,0.5127839804521086,0.1618333333333333,2,expansion
194,19,17,2,1,0,0,0.0,0.5137363446806459,0.18461904761904757,2,expansion
195,19,17,2,1,0,0,0.0,0.5129357596644889,0.18438095238095237,2,expansion
196,19,17,2,1,0,0,0.0,0.5092039606624095,0.1861190476190476,2,expansion
197,19,17,2,1,0,0,0.0,0.515979966811083,0.1796190476190476,2,expansion
198,19,17,2,1,0,0,0.0,0.5186503169908224,0.18559523809523806,2,expansion
199,19,18,1,1,0,0,0.0,0.5074806912889327,0.1786666666666666,2,expansion
200,19,18,1,1,0,0,0.0,0.5070075323683366,0.1744285714285714,2,expansion
201,19,18,1,1,0,0,0.0,0.5115066978292407,0.18914285714285708,2,expansion
202,19,18,1,1,0,0,0.0,0.5138490229771535,0.17378571428571424,2,expansion
203,19,18,1,1,0,0,0.0,0.5166562647221733,0.16938095238095233,2,expansion
204,19,18,1,1,0,0,0.0,0.5072613162939408,0.1761666666666666,2,expansion
205,18,17,1,2,0,1,0.0,0.5124763862183594,0.17499999999999996,2,expansion
206,18,17,1,2,0,0,0.0,0.5114276068489789,0.18926190476190474,1,expansion
207,18,17,1,2,0,0,0.0,0.5117023003197106,0.18671428571428567,1,expansion
208,18,17,1,2,0,0,0.0,0.5081108799138172,0.17780952380952375,2,expansion
209,18,17,1,2,0,0,0.0,0.5125689812315862,0.1833809523809523,1,expansion
210,18,17,1,2,0,0,0.0,0.5185200911332468,0.18002380952380947,2,expansion
211,18,17,1,2,0,0,0.0,0.5182016381987075,0.18302380952380948,1,expansion
212,18,16,2,2,0,0,0.0,0.5061587227131382,0.1802142857142857,2,expansion
213,18,16,2,2,0,0,0.0,0.505595689055138,0.16926190476190472,2,expansion
214,18,16,2,2,0,0,0.0,0.5078396011242902,0.16978571428571423,2,expansion
215,17,15,2,3,0,1,0.0,0.5135364954156318,0.16619047619047614,2,expansion
216,16,14,2,4,0,1,0.0,0.5153746348013526,0.15114285714285713,2,expansion
217,16,14,2,4,0,0,0.0,0.5052359004881168,0.14573809523809522,3,expansion
218,16,14,2,4,0,0,0.0,0.5036154077523614,0.1363333333333333,3,expansion
219,16,14,2,4,0,0,0.0,0.5072247981407025,0.13616666666666663,4,expansion
220,16,14,2,4,0,0,0.0,0.5149647658680917,0.1398333333333333,3,expansion
221,16,14,2,4,0,0,0.0,0.5103111499925743,0.1435,2,expansion
222,16,14,2,4,0,0,0.0,0.505425183620115,0.13954761904761903,2,expansion
223,16,14,2,4,0,0,0.0,0.5210070895197739,0.14859523809523809,2,expansion
224,16,14,2,4,0,0,0.0,0.516869073839346,0.1415238095238095,2,expansion
225,16,14,2,4,0,0,0.0,0.5143580091466214,0.14242857142857143,2,expansion
226,15,13,2,5,0,1,0.0,0.5061396716989989,0.1425,2,expansion
227,15,13,2,5,0,0,0.0,0.5052025990431581,0.1306904761904762,2,expansion
228,13,11,2,7,0,2,0.0,0.5123944301617753,0.11164285714285714,2,expansion
229,13,11,2,7,0,0,0.0,0.5212806670522278,0.11207142857142856,2,expansion
230,13,11,2,7,0,0,0.0,0.5123094478925134,0.11207142857142856,2,expansion
231,12,10,2,8,0,1,0.0,0.5191775441987755,0.10207142857142855,2,expansion
232,12,10,2,8,0,0,0.0,0.5280027755446569,0.1115238095238095,2,expansion
233,12,10,2,8,0,0,0.0,0.5241196025737872,0.10973809523809523,2,expansion
234,11,9,2,9,0,1,0.0,0.5260035087499036,0.09973809523809524,2,expansion
235,11,9,2,9,0,0,0.0,0.5260035087499036,0.09973809523809524,2,expansion
236,11,9,2,9,0,0,0.0,0.5239226928248736,0.10064285714285713,2,expansion
237,11,9,2,9,0,0,0.0,0.5212562002928286,0.09949999999999999,2,expansion
238,10,9,1,10,0,1,0.0,0.5131564867420588,0.08909523809523807,2,expansion
239,10,9,1,10,0,0,0.0,0.4927964030477585,0.09054761904761904,2,expansion
240,10,9,1,10,0,0,0.0,0.49756176860812407,0.09054761904761904,2,expansion
241,9,8,1,11,0,1,0.0,0.5085790467370388,0.07826190476190475,2,expansion
242,9,8,1,11,0,0,0.0,0.5049317136874015,0.09128571428571428,1,expansion
243,9,8,1,11,0,0,0.0,0.5049317136874015,0.09128571428571428,1,expansion
244,8,7,1,12,0,1,0.0,0.4982369407911679,0.08678571428571427,1,expansion
245,8,7,1,12,0,0,0.0,0.4880854367164472,0.08449999999999999,1,expansion
246,8,7,1,12,0,0,0.0,0.4880854367164472,0.08204761904761902,1,expansion
247,8,7,1,12,0,0,0.0,0.4937657613833952,0.07933333333333333,1,expansion
248,8,7,1,12,0,0,0.0,0.4907362548943563,0.06983333333333333,2,expansion
249,8,7,1,12,0,0,0.0,0.4937657613833952,0.08195238095238093,1,expansion
250,8,7,1,12,0,0,0.0,0.4960294571668481,0.07816666666666666,1,expansion
251,7,6,1,13,0,1,0.0,0.48841602103098253,0.07090476190476189,1,expansion
252,7,6,1,13,0,0,0.0,0.5010900540442166,0.06959523809523809,1,expansion
253,5,4,1,15,0,2,0.0,0.523845264078291,0.04935714285714285,1,expansion
254,4,3,1,16,0,1,0.0,0.5254222084867621,0.03935714285714286,1,expansion
255,3,2,1,17,0,1,0.0,0.5076850348944881,0.029357142857142856,1,expansion
256,2,1,1,18,0,1,0.0,0.5028273775314814,0.019357142857142857,1,expansion
257,2,1,1,18,0,0,0.0,0.5028273775314814,0.019357142857142857,1,expansion
258,2,1,1,18,0,0,0.0,0.5028273775314814,0.019357142857142857,1,expansion
259,2,1,1,18,0,0,0.0,0.5028273775314814,0.018857142857142854,1,expansion
260,2,1,1,18,0,0,0.0,0.5028273775314814,0.018857142857142854,1,expansion
261,1,1,0,19,0,1,0.0,0.46087798237744315,0.008857142857142857,1,expansion
262,1,1,0,19,0,0,0.0,0.46087798237744315,0.008857142857142857,1,expansion
263,1,1,0,19,0,0,0.0,0.46087798237744315,0.008857142857142857,1,expansion
